Arcanine, Exeggutor, Golduck, Pidgeotto, Doduo, Zubat, Dragonite, Golduck, Snorlax, Magneton, Dodrio, Sandslash, 13.1708853245, 4, 559.69220774, 71.7284884268, Dragonite, Dragonite, Charizard, Dragonite, Dragonite, Jolteon, 12.7621488571, 4, 371.90470649, 50.6118222457, Dragonite, Dragonite, Dragonite, Dragonite, Electrode, Lapras, 18.3206367493, 4, 369.08160672, 49.9486659662
Kadabra, Fearow, Growlithe, Doduo, Nidorina, Nidorino, Charizard, Snorlax, Snorlax, Scyther, Dragonair, Bellsprout, 12.7647800446, 5, 405.50380546, 54.5416703763, Golem, Kabutops, Omastar, Snorlax, Jolteon, Lapras, 12.3744885921, 4, 316.14860562, 49.2965942896, Zapdos, Rhydon, Golem, Graveler, Exeggutor, Nidoking, 17.8804824352, 5, 288.4410047, 43.6403163839
Cubone, Sandslash, Clefairy, Ponyta, Pidgeotto, Beedrill, Kabutops, Blastoise, Meowth, Hitmonlee, Vulpix, Slowpoke, 13.0918779373, 2, 594.12730791, 81.8010180247, Golem, Vileplume, Nidoqueen, Bulbasaur, Blastoise, Rhydon, 12.7532048225, 4, 476.35690623, 68.8229557048, Gyarados, Snorlax, Dragonair, Rhydon, Arcanine, Nidoqueen, 18.2669057846, 5, 289.21280576, 49.2171476428
Growlithe, Golbat, Sandslash, Bellsprout, Tentacool, Aerodactyl, Moltres, Poliwag, Machop, Kingler, Jolteon, Nidorina, 13.9758176804, 2, 557.83490883, 71.4431067122, Lapras, Snorlax, Gyarados, Dragonite, Gyarados, Raichu, 13.6194872856, 4, 512.98040868, 68.57506978, Vaporeon, Gyarados, Gyarados, Kangaskhan, Dodrio, Moltres, 18.8803551197, 5, 407.32690523, 62.3564094499
Drowzee, Grimer, Tauros, Voltorb, Tentacool, Dewgong, Kangaskhan, Clefairy, Poliwag, Moltres, Exeggcute, Parasect, 13.6650979519, 2, 757.26860962, 86.9588411167, Lapras, Snorlax, Nidoqueen, Charizard, Jolteon, Venusaur, 13.3302598, 4, 572.86770859, 86.7120407318, Gyarados, Golem, Jolteon, Electrode, Golduck, Zapdos, 18.6443989277, 4, 371.24420614, 54.3091511297
Abra, Goldeen, Gengar, Ninetales, Bulbasaur, Persian, Dragonite, Rattata, Sandslash, Machamp, Weepinbell, Chansey, 13.7057986259, 3, 469.83770759, 54.0229851545, Lapras, Dragonite, Moltres, Dragonite, Charizard, Scyther, 13.3497812748, 5, 391.79480516, 57.6442228418, Arcanine, Dragonite, Poliwrath, Poliwhirl, Gyarados, Omastar, 18.7446022034, 5, 336.47380446, 48.0356669877
Drowzee, Electabuzz, Moltres, Scyther, Poliwrath, Golbat, Golem, Oddish, Dragonite, Onix, Scyther, Victreebel, 12.6879746914, 1, 753.4270109, 79.69123254, Dragonite, Golem, Golem, Dragonite, Zapdos, Slowbro, 12.2975318432, 3, 567.07740858, 67.6370838585, Slowbro, Kangaskhan, Zapdos, Dragonite, Golem, Venusaur, 17.6183242798, 3, 729.02750925, 88.6265597965
Cloyster, Kangaskhan, Staryu, Aerodactyl, Charmander, Voltorb, Poliwrath, Charmander, Vaporeon, Psyduck, Rattata, Beedrill, 13.6109261513, 3, 550.44970799, 69.7676002732, Poliwrath, Moltres, Poliwrath, Poliwrath, Poliwrath, Jolteon, 13.2061309814, 4, 443.33980666, 66.7525607326, Arcanine, Machamp, Arcanine, Dragonite, Golduck, Flareon, 18.5896222591, 4, 456.33980666, 62.7318696658
Raichu, Ponyta, Zubat, Tangela, Krabby, Drowzee, Dragonite, Kabuto, Marowak, Kabutops, Pikachu, Weezing, 13.6375565529, 3, 485.19430681, 58.9465672231, Golem, Dragonite, Moltres, Dragonair, Slowbro, Arcanine, 13.1037404537, 5, 268.03870429, 42.4011315508, Hitmonchan, Dragonite, Dragonite, Clefable, Cubone, Arcanine, 18.5097589493, 5, 286.15280376, 45.4364286988
Parasect, Rhydon, Gloom, Vaporeon, Persian, Moltres, Dragonite, Raticate, Rattata, Omastar, Starmie, Venusaur, 12.9190182686, 0, 840.87921064, 90.5277167406, Dragonite, Dragonite, Articuno, Dragonite, Gyarados, Gyarados, 12.4653329849, 3, 551.52820894, 71.9413859697, Snorlax, Aerodactyl, Dragonite, Slowbro, Muk, Krabby, 17.7487726212, 3, 750.25151005, 85.8069511337
Arcanine, Spearow, Flareon, Clefairy, Cubone, Abra, Dragonite, Ninetales, Gastly, Slowbro, Horsea, Omastar, 13.337250948, 3, 486.78920764, 62.6061100814, Golem, Vaporeon, Gyarados, Dragonite, Gyarados, Scyther, 12.999776125, 5, 342.77910497, 51.6251459675, Golem, Moltres, Gyarados, Dragonite, Zapdos, Omastar, 18.2076802254, 5, 281.45810427, 45.3605461691
Electrode, Ekans, Alakazam, Nidoking, Exeggutor, Machoke, Golem, Primeape, Paras, Poliwrath, Krabby, Fearow, 13.6051037312, 0, 810.84781026, 68.6029296689, Rhydon, Rhydon, Blastoise, Dragonite, Dragonite, Dragonite, 13.1880891323, 3, 605.44690923, 62.0966651898, Rhydon, Rhydon, Scyther, Moltres, Dragonite, Articuno, 18.6604425907, 4, 505.77490683, 54.335180555
Kabutops, Meowth, Pikachu, Seel, Nidorina, Raichu, Kabutops, Articuno, Mr. Mime, Mankey, Bulbasaur, Charmander, 13.2136776447, 3, 439.17860662, 68.0069919067, Golem, Vileplume, Rhydon, Snorlax, Kabutops, Dugtrio, 12.8723838329, 4, 385.90470649, 54.2067318777, Vileplume, Nidoking, Golbat, Alakazam, Articuno, Magneton, 18.3884246349, 5, 313.70060402, 51.3002383025
Venusaur, Pidgey, Pidgey, Starmie, Electrode, Venomoth, Moltres, Ninetales, Charmeleon, Golem, Jolteon, Lapras, 14.7714240551, 3, 510.38550785, 59.8837289574, Dragonite, Snorlax, Dragonite, Exeggutor, Arcanine, Snorlax, 14.2582080364, 4, 463.70790793, 62.1003423854, Dragonite, Dragonite, Rhydon, Slowbro, Weepinbell, Scyther, 19.7417564392, 5, 327.05440448, 49.8729387289
Ponyta, Tentacruel, Wigglytuff, Chansey, Golbat, Arcanine, Rhydon, Butterfree, Psyduck, Haunter, Poliwhirl, Porygon, 14.3244042397, 1, 835.83071069, 107.651892637, Rhydon, Rhydon, Rhydon, Snorlax, Golem, Rhydon, 13.8894720078, 4, 435.98320744, 82.9461425931, Rhydon, Rhydon, Flareon, Rhydon, Dragonite, Gyarados, 19.1581408978, 4, 471.66220674, 86.8499233839
Gastly, Squirtle, Butterfree, Lapras, Arcanine, Vulpix, Jolteon, Ivysaur, Slowbro, Oddish, Scyther, Oddish, 14.3054153919, 2, 589.38270909, 58.67727944, Moltres, Snorlax, Slowbro, Poliwrath, Rhydon, Gyarados, 13.8493170738, 4, 622.65940798, 75.3858471095, Gyarados, Poliwrath, Slowbro, Gyarados, Zapdos, Rapidash, 19.3669145107, 4, 424.56520684, 66.1759393643
Primeape, Shellder, Horsea, Goldeen, Machop, Machoke, Tentacruel, Venomoth, Magnemite, Sandshrew, Magmar, Electabuzz, 12.0729296207, 3, 413.27560652, 61.6034579517, Ninetales, Oddish, Nidoqueen, Blastoise, Chansey, Lapras, 11.6834607124, 4, 414.19710557, 60.0981820055, Alakazam, Exeggutor, Exeggutor, Seaking, Nidorino, Exeggutor, 17.1935856342, 5, 229.79760392, 35.1126543721
