Magnemite, Golduck, Poliwag, Graveler, Magnemite, Eevee, Horsea, Aerodactyl, Doduo, Poliwrath, Dragonair, Squirtle, 2.60944128036, 3, 490.5010067, 54.2504398834, Ninetales, Oddish, Omastar, Snorlax, Diglett, Magmar, 2.52407956123, 3, 499.19010867, 62.0408918318, Jolteon, Venusaur, Rhydon, Scyther, Haunter, Charmeleon, 2.83866429329, 5, 263.68490383, 44.2269593604
Electrode, Exeggutor, Raichu, Porygon, Porygon, Drowzee, Dragonite, Zapdos, Kabuto, Clefable, Grimer, Squirtle, 2.68173480034, 1, 890.73231141, 95.8077414423, Dragonite, Dragonite, Nidoqueen, Rhyhorn, Geodude, Lapras, 2.58532881737, 4, 479.5010067, 60.8309872146, Dragonite, Dragonite, Dragonite, Ivysaur, Snorlax, Jigglypuff, 2.86207532883, 4, 415.08160672, 55.5063757897
Gengar, Moltres, Hypno, Flareon, Moltres, Ekans, Dugtrio, Lapras, Weepinbell, Dragonite, Aerodactyl, Charmander, 2.3306992054, 0, 915.16741158, 82.0485083714, Dugtrio, Dragonite, Gyarados, Rhydon, Moltres, Gyarados, 2.24576711655, 3, 518.15870829, 64.1211405898, Gyarados, Gyarados, Slowbro, Gyarados, Spearow, Charizard, 2.50432062149, 4, 527.67790693, 65.0938449551
Exeggcute, Pidgey, Dragonair, Zubat, Nidoran, Bulbasaur, Horsea, Weepinbell, Cloyster, Victreebel, Rhydon, Doduo, 2.38400602341, 3, 363.27560652, 47.6574833386, Ninetales, Oddish, Omastar, Tauros, Diglett, Lapras, 2.31266546249, 3, 418.43540718, 58.0870618494, Dragonite, Dragonite, Oddish, Pidgey, Beedrill, Vulpix, 2.60901284218, 6, 164.02720224, 30.666112489
Jynx, Wigglytuff, Doduo, Abra, Dewgong, Persian, Ninetales, Magmar, Fearow, Porygon, Primeape, Charizard, 2.94898724556, 2, 633.43120904, 71.317531375, Zapdos, Tauros, Nidoqueen, Tauros, Chansey, Lapras, 2.85937190056, 3, 650.69080836, 74.5496148008, Flareon, Flareon, Machamp, Raichu, Gyarados, Doduo, 3.1702246666, 4, 341.79340578, 47.2974999126
Krabby, Seadra, Farfetch'd, Marowak, Graveler, Machop, Horsea, Dewgong, Spearow, Scyther, Abra, Machoke, 2.66908717155, 1, 755.75220974, 82.6288055017, Lapras, Vileplume, Moltres, Blastoise, Chansey, Lapras, 2.60956382751, 3, 655.54390913, 77.0999827372, Dragonite, Dragonite, Gyarados, Poliwrath, Kingler, Electabuzz, 2.89522266388, 5, 286.05440448, 44.7538525344
Paras, Fearow, Aerodactyl, Psyduck, Seel, Marowak, Tauros, Gengar, Articuno, Staryu, Weepinbell, Haunter, 2.72022008896, 2, 597.83490883, 79.3626378718, Golem, Vaporeon, Omastar, Blastoise, Chansey, Magmar, 2.64525842667, 4, 465.56520684, 64.0976197366, Raichu, Dragonite, Hitmonchan, Gyarados, Nidoran, Chansey, 2.90938997269, 5, 292.37820394, 47.7940414056
Raichu, Sandshrew, Geodude, Ninetales, Porygon, Pidgeotto, Oddish, Tentacruel, Magneton, Jynx, Raichu, Graveler, 2.68322968483, 2, 647.17440848, 73.535876456, Golem, Porygon, Moltres, Blastoise, Diglett, Lapras, 2.60614013672, 3, 485.56240808, 68.9665872911, Venusaur, Gyarados, Golem, Gyarados, Jynx, Machoke, 2.87524533272, 5, 327.57080436, 49.6150577635
Slowpoke, Diglett, Tauros, Dragonite, Zubat, Articuno, Gyarados, Golbat, Porygon, Mr. Mime, Weezing, Hitmonlee, 2.77228784561, 1, 803.6210107, 84.5842187038, Exeggutor, Tauros, Jynx, Venomoth, Machamp, Magmar, 2.68437147141, 2, 645.36421014, 70.5108142741, Exeggutor, Lapras, Articuno, Articuno, Pidgeot, Scyther, 3.04926586151, 4, 573.77350745, 75.2045938933
Marowak, Seadra, Seel, Haunter, Magnemite, Poliwhirl, Horsea, Beedrill, Vileplume, Golem, Nidoran, Rhydon, 2.70700454712, 3, 529.04880696, 57.0683644496, Ninetales, Porygon, Nidoqueen, Wartortle, Chansey, Exeggcute, 2.63402080536, 2, 846.35861262, 94.7573840274, Dragonite, Exeggutor, Venusaur, Blastoise, Rhydon, Slowpoke, 2.86032915115, 5, 312.58650455, 48.6340646052
